id,published_date,title,source,tags,crawl_date,tickers,day_name
94450005,2026-04-13 16:42:25.480000+00:00,"Meta deve superar Google em receita de anncios digitais pela 1 vez, diz Emarketer",reuters.com,"['2026:Ml_Kbn3Qq1Ti', '2026:Ml_Kbn3Qq1Ti:1', '2026:Ml_Kbn3Qq1Tj', '2026:Ml_Kbn3Qq1Tj:1', '2026:Ml_L6N40W10Y', '2026:Ml_L6N40W10Y:348946842', 'Consumer Cyclical', 'Guid:Tag:Reuters.Com', 'Stock', 'Technology', 'Unknown Sector', 'Usn:Kbn3Qq1Ti', 'Usn:Kbn3Qq1Tj', 'Usn:L6N40W10Y', 'Vguid:Tag:Reuters.Com']",2026-04-13 16:53:35.452325+00:00,"['amzn', 'goog', 'googl', 'meta', 'pins', 'snap']",Monday
94448485,2026-04-13 15:51:43.738000+00:00,"Meta poised to surpass Google in digital ad revenue for first time, report says",reuters.com,"['2026:Ml_Kbn3Qq1O5', '2026:Ml_Kbn3Qq1O5:1', '2026:Ml_Kbn3Qq1O5:2', '2026:Ml_Kbn3Qq1O6', '2026:Ml_Kbn3Qq1O6:1', '2026:Ml_L4N40W184', '2026:Ml_L4N40W184:1820548592', 'Consumer Cyclical', 'Guid:Tag:Reuters.Com', 'Stock', 'Technology', 'Unknown Sector', 'Usn:Kbn3Qq1O5', 'Usn:Kbn3Qq1O6', 'Usn:L4N40W184', 'Vguid:Tag:Reuters.Com']",2026-04-13 16:14:36.047716+00:00,"['amzn', 'goog', 'googl', 'meta', 'pins', 'snap']",Monday
94439046,2026-04-13 11:41:34.427000+00:00,Starmer dice que redes sociales deben poner fin al deslizamiento infinito en las pantallas,reuters.com,"['2026:Ml_Kbn3Qq11E', '2026:Ml_Kbn3Qq11E:1', '2026:Ml_Kbn3Qq11F', '2026:Ml_Kbn3Qq11F:1', '2026:Ml_L6N40W0Nq', '2026:Ml_L6N40W0Nq:684081997', 'Guid:Tag:Reuters.Com', 'Stock', 'Technology', 'Usn:Kbn3Qq11E', 'Usn:Kbn3Qq11F', 'Usn:L6N40W0Nq', 'Vguid:Tag:Reuters.Com']",2026-04-13 12:01:24.913150+00:00,['meta'],Monday
94438338,2026-04-13 11:21:08.243000+00:00,"Social media platforms need to stop never-ending scrolling, UK's Starmer says",reuters.com,"['2026:Ml_Kbn3Qq108', '2026:Ml_Kbn3Qq108:1', '2026:Ml_Kbn3Qq109', '2026:Ml_Kbn3Qq109:1', '2026:Ml_L8N40W0O7', '2026:Ml_L8N40W0O7:1686280754', 'Guid:Tag:Reuters.Com', 'Stock', 'Technology', 'Usn:Kbn3Qq108', 'Usn:Kbn3Qq109', 'Usn:L8N40W0O7', 'Vguid:Tag:Reuters.Com']",2026-04-13 11:41:20.162257+00:00,['meta'],Monday
94425439,2026-04-12 14:00:01.594000+00:00,"Apple AI Glasses Will Rival Meta’s With Several Styles, Oval Cameras",bloomberg.com,"['Stock', 'Technology', 'Tiingo Top']",2026-04-12 14:04:07.283449+00:00,"['aapl', 'googl', 'meta']",Sunday
94421187,2026-04-12 02:29:47.400000+00:00,"Philippines Asks Facebook to Curb Fake News, Warns of Legal Move",bloomberg.com,"['Philippines', 'Stock', 'Technology', 'Tiingo Top']",2026-04-12 03:30:37.704263+00:00,['meta'],Sunday
94409764,2026-04-11 01:04:28.312000+00:00,Former OpenAI Stargate Leaders Plan to Join Meta Platforms,bloomberg.com,"['Stock', 'Technology', 'Tiingo Top']",2026-04-11 02:05:58.487172+00:00,"['intc', 'meta', 'orcl']",Saturday
94402084,2026-04-10 18:33:33.711000+00:00,CoreWeave vende capacidade de computao para Anthropic,reuters.com,"['2026:Ml_Kbn3Qn1Yk', '2026:Ml_Kbn3Qn1Yk:1', '2026:Ml_Kbn3Qn1Yl', '2026:Ml_Kbn3Qn1Yl:1', '2026:Ml_L6N40T13I', '2026:Ml_L6N40T13I:494081492', 'Guid:Tag:Reuters.Com', 'Stock', 'Technology', 'Unknown Sector', 'Usn:Kbn3Qn1Yk', 'Usn:Kbn3Qn1Yl', 'Usn:L6N40T13I', 'Vguid:Tag:Reuters.Com']",2026-04-10 18:37:25.493031+00:00,"['avgo', 'crwv', 'googl', 'meta', 'msft', 'nvda']",Friday
94400602,2026-04-10 17:20:09.548000+00:00,Snap usar chips da Qualcomm em futuros culos inteligentes com IA,reuters.com,"['2026:Ml_Kbn3Qn1Tt', '2026:Ml_Kbn3Qn1Tt:1', '2026:Ml_Kbn3Qn1Tu', '2026:Ml_Kbn3Qn1Tu:1', '2026:Ml_L6N40T112', '2026:Ml_L6N40T112:251278653', 'Guid:Tag:Reuters.Com', 'Stock', 'Technology', 'Usn:Kbn3Qn1Tt', 'Usn:Kbn3Qn1Tu', 'Usn:L6N40T112', 'Vguid:Tag:Reuters.Com']",2026-04-10 17:26:31.464895+00:00,"['meta', 'qcom', 'snap']",Friday
94397324,2026-04-10 15:17:10.210000+00:00,AI struggles to model for angry Main Street mobs,reuters.com,"['2026:Ml_L6N40P0Ga', '2026:Ml_L6N40P0Ga:1006545451', 'Consumer Cyclical', 'Guid:Tag:Reuters.Com', 'Stock', 'Technology', 'Usn:L6N40P0Ga', 'Vguid:Tag:Reuters.Com']",2026-04-10 15:37:31.213014+00:00,"['amzn', 'meta', 'msft']",Friday
